#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|/media/storage/Projects/CryptoStat-Research/ciphertext|  5.91e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.80377929|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.50546244|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.90324013|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.04243774|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.73797398|  PASSED  
        diehard_opso|   0|   2097152|     100|0.12383400|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.66889538|  PASSED  
         diehard_dna|   0|   2097152|     100|0.50468703|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.82516897|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.48973863|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.43595334|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.64400105|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.95145093|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.21261823|  PASSED  
        diehard_sums|   0|       100|     100|0.00118088|   WEAK   
        diehard_runs|   0|    100000|     100|0.86475628|  PASSED  
        diehard_runs|   0|    100000|     100|0.07259111|  PASSED  
       diehard_craps|   0|    200000|     100|0.02029623|  PASSED  
       diehard_craps|   0|    200000|     100|0.75578632|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.78170918|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.55844297|  PASSED  
         sts_monobit|   1|    100000|     100|0.50474281|  PASSED  
            sts_runs|   2|    100000|     100|0.99629357|   WEAK   
          sts_serial|   1|    100000|     100|0.96988769|  PASSED  
          sts_serial|   2|    100000|     100|0.88597363|  PASSED  
          sts_serial|   3|    100000|     100|0.77658396|  PASSED  
          sts_serial|   3|    100000|     100|0.80854597|  PASSED  
          sts_serial|   4|    100000|     100|0.57185816|  PASSED  
          sts_serial|   4|    100000|     100|0.88621525|  PASSED  
          sts_serial|   5|    100000|     100|0.90162519|  PASSED  
          sts_serial|   5|    100000|     100|0.41706791|  PASSED  
          sts_serial|   6|    100000|     100|0.53025053|  PASSED  
          sts_serial|   6|    100000|     100|0.23009500|  PASSED  
          sts_serial|   7|    100000|     100|0.38565616|  PASSED  
          sts_serial|   7|    100000|     100|0.49955633|  PASSED  
          sts_serial|   8|    100000|     100|0.53699983|  PASSED  
          sts_serial|   8|    100000|     100|0.48866938|  PASSED  
          sts_serial|   9|    100000|     100|0.41593568|  PASSED  
          sts_serial|   9|    100000|     100|0.45846997|  PASSED  
          sts_serial|  10|    100000|     100|0.04021133|  PASSED  
          sts_serial|  10|    100000|     100|0.99003825|  PASSED  
          sts_serial|  11|    100000|     100|0.19728157|  PASSED  
          sts_serial|  11|    100000|     100|0.33847521|  PASSED  
          sts_serial|  12|    100000|     100|0.16206532|  PASSED  
          sts_serial|  12|    100000|     100|0.78472468|  PASSED  
          sts_serial|  13|    100000|     100|0.39174917|  PASSED  
          sts_serial|  13|    100000|     100|0.60350618|  PASSED  
          sts_serial|  14|    100000|     100|0.60035390|  PASSED  
          sts_serial|  14|    100000|     100|0.25650157|  PASSED  
          sts_serial|  15|    100000|     100|0.89998592|  PASSED  
          sts_serial|  15|    100000|     100|0.66790290|  PASSED  
          sts_serial|  16|    100000|     100|0.69908713|  PASSED  
          sts_serial|  16|    100000|     100|0.07112144|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.64210272|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.34825979|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.76607328|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.79479375|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.45388900|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.86442951|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.52940274|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.99788544|   WEAK   
         rgb_bitdist|   9|    100000|     100|0.61010892|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.24432985|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.53995450|  PASSED  
